userId,movieId,tag,timestamp
14,11,epic,1443148538
14,11,Medieval,1443148532
14,26,sci-fi,1442169410
14,26,space action,1442169421
14,31,imdb top 250,1442615195
14,31,justice,1442615192
14,48,Dinosaurs,1443148563
14,59,psychothriller,1444014286
14,16,philosophy,1442615158
14,16,surveillance,1442615167
14,74,Epic,1443148675
14,95,Pixar,1443148494
14,25,dinosaurs,1443148646
27,26,classic sci-fi,1440448113
27,26,Harrison Ford,1440448123
27,26,must see,1440448132
27,26,sci-fi,1440448094
42,38,disappointing,1264106059
42,38,overrated,1264106052
42,38,stupid,1264106067
56,14,cliche,1381497460
56,20,disturbing,1274837927
56,20,history,1274837934
56,20,Steven Spielberg,1274837939
56,29,brothers,1301301874
56,29,David Lynch,1301301878
56,29,lawn mower,1301301883
56,29,melodrama,1301301885
56,29,obstinance,1301301890
56,48,metaphysics,1300693593
56,48,no narrative,1300693602
56,89,Christian Bale,1300694695
56,89,imaginary friend,1300694726
56,89,Overrated,1300694702
56,89,post-traumatic stress disorder,1300694710
56,57,black comedy,1354611261
56,57,love story,1354611279
56,57,post-apocalyptic,1354611302
56,69,Sacha Baron Cohen,1298456919
56,69,Suprises around every corner,1298456921
56,72,too long,1288481131
56,79,Kieran Culkin,1282082608
56,79,Mary Elizabeth Winstead,1282082614
56,79,Michael Cera,1282082629
56,79,stylized,1282082605
56,79,video games,1282082620
56,80,love story,1354483209
56,80,social commentary,1354483137
56,84,British accents,1324483431
56,84,Jews,1324483406
56,84,Religion,1324483414
56,88,atmospheric,1387507924
56,88,car chase,1387507893
56,88,cars,1387507898
56,88,cinematography,1387507922
56,88,feel-good,1387507903
56,88,great soundtrack,1387507927
56,88,neo-noir,1387507919
56,88,predictable,1387507929
75,60,black comedy,1478382579
75,60,dark comedy,1478382574
75,10,great dialogue,1478382781
75,10,humorous,1478382746
75,10,stylized,1478382743
75,10,thriller,1478382766
75,37,parody,1478382042
75,37,stupid,1478382047
75,40,comedy,1478382013
75,40,Crime,1478381994
75,40,cynical,1478382018
75,40,Great dialogue,1478382009
75,40,guy ritchie,1478381991
75,40,Hilarious,1478381999
75,22,isolation,1514325958
75,22,loneliness,1514325939
75,22,man vs. nature,1514325934
75,22,psychological,1514325936
75,22,stranded,1514325949
75,22,SURVIVAL,1514325927
75,43,dystopia,1478382099
75,54,bad effects,1507437853
75,54,blury shot,1507437799
75,54,heavy post-processing,1507437828
75,59,crime,1478381937
75,59,intelligent,1478381927
75,59,Leonardo DiCaprio,1478381921
75,59,smart,1478381939
75,59,twists & turns,1478381925
75,65,post-apocalyptic,1478382110
75,65,sci-fi,1478382117
75,65,survival,1478382114
75,86,superhero,1478381532
75,86,artificial intelligence,1478382700
75,86,dystopia,1478382709
75,86,sci-fi,1478382703
75,32,stylized,1478382228
75,33,espionage,1478382077
75,33,spies,1478382073
75,81,plot holes,1478381905
